Trans. Date,Post Date,Description,Amount,Category
03/03/2023,03/03/2023,"GOOGLE *YT PRIMETIME G.CO/HELPPAY#CAP0PX5NOT",15.89,"Merchandise"
03/03/2023,03/03/2023,"LGND GOLDEN 1 CONCESSION SACRAMENTO CA",5.44,"Restaurants"
03/03/2023,03/03/2023,"LGND GOLDEN 1 CONCESSION SACRAMENTO CA",16.75,"Restaurants"
03/03/2023,03/03/2023,"TACO BELL 26850 MILLBRAE CA",11.90,"Restaurants"
03/03/2023,03/03/2023,"YOLO FRUIT STAND DAVIS CA",5.34,"Supermarkets"
03/04/2023,03/04/2023,"A&A GAS BURLINGAME CA",48.12,"Gasoline"
03/04/2023,03/04/2023,"CITYOFSAC-PARKMOBILE 916-808-5110 CA749064904",12.35,"Services"
03/04/2023,03/04/2023,"CITYOFSAC-PARKMOBILE 916-808-5110 CA749660159",12.35,"Services"
03/04/2023,03/04/2023,"COURSRA5IM7YPM1EY6M1D 650-963-9884 CA",49.00,"Education"
03/04/2023,03/04/2023,"FASTRAK CSC 415-486-8655 CA",25.00,"Travel/ Entertainment"
03/04/2023,03/04/2023,"FINNEGANS PUB SACRAMENTO CA",63.75,"Restaurants"
03/04/2023,03/04/2023,"FUZE TECHNOLOGY, INC. 2134516667 CA",6.00,"Merchandise"
03/04/2023,03/04/2023,"LGND GOLDEN 1 CONCESSION SACRAMENTO CA",21.54,"Restaurants"
03/04/2023,03/04/2023,"SQ *LOU?S CAFE SAN FRANCISCOCA0001152921512530496109",19.31,"Restaurants"
03/04/2023,03/04/2023,"UPS*1ZA407020364466528 800-811-1648 GA1ZA407020364466528",5.99,"Travel/ Entertainment"
03/04/2023,03/04/2023,"WALGREENS #0625 MILLBRAE CA",27.32,"Merchandise"
03/05/2023,03/05/2023,"AMZN MKTP US*H500J0L02 AMZN.COM/BILLWA5NBVHMK06CU",43.84,"Merchandise"
03/05/2023,03/05/2023,"AMZN MKTP US*H56C927E0 AMZN.COM/BILLWA3M2ST0SZ5VY",152.12,"Merchandise"
03/05/2023,03/05/2023,"OBSIDIAN.MD 2262203323 CAN",10.00,"Merchandise"
03/05/2023,03/05/2023,"SQ *HELLA KINKETSU HAYWARD CA0001152921512535172822",62.89,"Services"
03/05/2023,03/05/2023,"TARGET 00014274091 SAN JOSE CA",10.93,"Supermarkets"
03/05/2023,03/05/2023,"TCKTWEB*JAWNYWALLICE 800-965-4827 CA748228446EPS5E6Z",30.34,"Travel/ Entertainment"
03/06/2023,03/06/2023,"APPLE.COM/BILL 866-712-7753 CAMMWD2S6439A0",9.99,"Merchandise"
03/06/2023,03/06/2023,"ATI8363-030677116 310-627-2866 CAAPPLE PAY ENDING IN 1455",5.00,"Travel/ Entertainment"
03/06/2023,03/06/2023,"CAFFE STELLATO BURLINGAME CA",8.34,"Restaurants"
03/06/2023,03/06/2023,"CCBILL.COM 888-5969279 AZ",13.81,"Merchandise"
03/06/2023,03/06/2023,"USPS PO 0510320110 BURLINGAME CA",17.10,"Government Services"
03/07/2023,03/07/2023,"AMAZON.COM*HG6EN3ZP0 AMZN.COM/BILLWAITEM TRANSFERRED FROM PREV ACCOUNT",13.85,"Merchandise"
03/07/2023,03/07/2023,"BIMBOS 365 CLUB SAN FRANCISCOCA",13.73,"Restaurants"
03/07/2023,03/07/2023,"BIMBOS 365 CLUB SAN FRANCISCOCA",13.73,"Restaurants"
03/07/2023,03/07/2023,"CCBILL.COM 888-5969279 AZ",4.51,"Merchandise"
03/07/2023,03/07/2023,"CURRY LEAF SAN FRANCISCOCA",24.32,"Restaurants"
03/07/2023,03/07/2023,"INTERNET PAYMENT - THANK YOU",-1079.82,"Payments and Credits"
03/07/2023,03/07/2023,"SQ *AYURBLISS PHYSICAL SAN MATEO CA0001152921512541037226",68.00,"Medical Services"
03/08/2023,03/08/2023,"TRADER JOE'S #170 QPS MILLBRAE CA",2.99,"Supermarkets"
03/08/2023,03/08/2023,"TRADER JOE'S #170 QPS MILLBRAE CA",58.26,"Supermarkets"
03/08/2023,03/08/2023,"UBER TRIP 866-576-1039 CA",48.90,"Travel/ Entertainment"
03/08/2023,03/08/2023,"WALGREENS #0625 MILLBRAE CA",66.43,"Merchandise"
03/09/2023,03/09/2023,"GOOGLE *YOUTUBE TV G.CO/HELPPAY#CAP0Q74KLW",64.99,"Services"
03/09/2023,03/09/2023,"HOMEROOM TO GO OAKLAND CA",40.33,"Restaurants"
03/09/2023,03/09/2023,"PP*COASTAL CURL OAKLAND CA",30.00,"Services"
03/10/2023,03/10/2023,"TARGET.COM * 800-591-3869 MN",49.70,"Merchandise"
03/10/2023,03/10/2023,"WALGREENS #0625 MILLBRAE CA",2.94,"Merchandise"
03/10/2023,03/10/2023,"WALGREENS #0625 MILLBRAE CA",28.41,"Merchandise"
03/11/2023,03/11/2023,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWD31LF78A0",16.95,"Merchandise"
03/11/2023,03/11/2023,"SQ *HAPA'S BREWING COM SAN JOSE CA0002305843017204153884",8.54,"Restaurants"
03/11/2023,03/11/2023,"SUMUP *JOSE A MARTINEZ V CAMPBELL CA",9.88,"Restaurants"
03/12/2023,03/12/2023,"CLR*YOGASIX6505342692 650-534-2692 CACLR*YOGASIX6505342692",36.59,"Travel/ Entertainment"
03/12/2023,03/12/2023,"COURSRA9SQDK9PPG1VBLF 650-963-9884 CA",49.00,"Education"
03/12/2023,03/12/2023,"PRIME VIDEO *HG9HR5TX2 888-802-3080 WA1NYMU5STVWY",0.99,"Merchandise"
03/12/2023,03/12/2023,"TRADER JOE'S #078 QPS SANFRANCISCO CA",19.55,"Supermarkets"
03/12/2023,03/12/2023,"WWW.DIGISTORE24.COM - 8003567947 FL",39.00,"Merchandise"
03/13/2023,03/13/2023,"SQ *DONUT DELITE SAN MATEO CA0001152921512561484525",9.09,"Merchandise"
03/15/2023,03/15/2023,"365 MARKET J 888 432-329 TROY MI",11.78,"Restaurants"
03/15/2023,03/15/2023,"BART-PARKING MILLBRAE MILLBRAE CA",3.00,"Services"
03/15/2023,03/15/2023,"OTF SOUTH SAN FRAN 1266 650-8262009 CA",4.40,"Travel/ Entertainment"
03/15/2023,03/15/2023,"PAYPAL *CRUNCHYROLL 402-935-7733 CA",7.99,"Services"
03/15/2023,03/15/2023,"SQ *FICTION COFFEE @ W SAN FRANCISCOCA0001152921512569931186",14.67,"Supermarkets"
03/15/2023,03/15/2023,"TARGET 00027664091 SAN FRANCISCOCA",26.10,"Supermarkets"
03/15/2023,03/15/2023,"WWW.WEWORK.COM 6467604450 NY",50.72,"Services"
03/16/2023,03/16/2023,"8CHICK-FIL-A #04448 DALY CITY CA",14.93,"Restaurants"
03/16/2023,03/16/2023,"CCBILL.COM 888-5969279 AZ",15.95,"Merchandise"
03/16/2023,03/16/2023,"CLAIRE'S #6154 DALY CITY CA",134.04,"Merchandise"
03/16/2023,03/16/2023,"UNIQLO USA LLC NEW YORK NY",109.44,"Merchandise"
03/17/2023,03/17/2023,"PAMF PA ONLINE BILL PAY 877-252-1777 CA",938.85,"Medical Services"
03/17/2023,03/17/2023,"THE BLACKSMITH REDWOOD CITY CA",48.56,"Restaurants"
03/17/2023,03/17/2023,"TMOBILE*AUTO PAY 800-937-8997 WAITEM TRANSFERRED FROM PREV ACCOUNT",111.63,"Merchandise"
03/18/2023,03/18/2023,"CCBILL.COM 888-5969279 AZ",5.30,"Merchandise"
03/18/2023,03/18/2023,"WHOLEFDS SMT 10150 SAN MATEO CA",75.81,"Supermarkets"
03/19/2023,03/19/2023,"99 RANCH #1782 FOSTER CITY CA",2.18,"Supermarkets"
03/19/2023,03/19/2023,"AMAZON.COM*HC36Y7EF2 AMZN.COM/BILLWA34CR0MRNJL8",15.19,"Merchandise"
03/19/2023,03/19/2023,"AMZN MKTP US*HC2FL3H21 AMZN.COM/BILLWA5X42XPX36E6",5.47,"Merchandise"
03/19/2023,03/19/2023,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWD3HW7YFA0",5.29,"Merchandise"
03/19/2023,03/19/2023,"ONEPASS 877-515-9364 MN77847",125.10,"Services"
03/19/2023,03/19/2023,"SQ *SPECIAL POPUP MENLO PARK CA0001152921512584397815",33.00,"Supermarkets"
03/20/2023,03/20/2023,"CHATGPT SUBSCRIPTION 4158799686 CA",20.00,"Merchandise"
03/20/2023,03/20/2023,"OTF SOUTH SAN FRAN 1266 650-8262009 CA",130.76,"Travel/ Entertainment"
03/21/2023,03/21/2023,"INTERNET PAYMENT - THANK YOU",-1079.82,"Payments and Credits"
03/21/2023,03/21/2023,"TIXR* MIDWAYSF BOILER 8189626635 CA",55.00,"Merchandise"
03/22/2023,03/22/2023,"ATI8363-032236444 310-627-2866 CAAPPLE PAY ENDING IN 1455",5.00,"Travel/ Entertainment"
03/22/2023,03/22/2023,"O'REILLY AUTO PARTS 6178 SOUTH SAN FRACA",48.34,"Automotive"
03/22/2023,03/22/2023,"O'REILLY AUTO PARTS 6178 SOUTH SAN FRACA",58.22,"Automotive"
03/22/2023,03/22/2023,"TCKTWEB*CRUMBAUTOMATIC 800-965-4827 CA945734576F17G0X2",40.66,"Travel/ Entertainment"
03/22/2023,03/22/2023,"TM *UNKNOWN MORTAL ORC 800-653-8000 CANCA/43-24774",53.25,"Travel/ Entertainment"
03/22/2023,03/22/2023,"WOODLANDS MARKETS SAN FRANCISCOCA",58.95,"Supermarkets"
03/23/2023,03/23/2023,"INTERNET PAYMENT - THANK YOU",-1582.05,"Payments and Credits"
03/24/2023,03/24/2023,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWD3KNN9SA0",6.35,"Merchandise"
03/24/2023,03/24/2023,"CAFFE CENTRAL BURLINGAME CA",30.82,"Restaurants"
03/24/2023,03/24/2023,"OTF SOUTH SAN FRAN 1266 650-8262009 CA",5.49,"Travel/ Entertainment"
03/24/2023,03/26/2023,"CHATGPT SUBSCRIPTION 4158799686 CA",-20.00,"Payments and Credits"
03/25/2023,03/25/2023,"CARLS JR SID 1101051 SAN JOSE CA",15.74,"Restaurants"
03/25/2023,03/25/2023,"GP SPORTS - CA SAN JOSE CA",43.70,"Merchandise"
03/25/2023,03/25/2023,"PACIFIC MOTORCYCLE TRAIN LIVERMORE CA",350.00,"Education"
03/26/2023,03/26/2023,"CLR*STRETCHLAB SAN FRANCISCOCACLR*STRETCHLAB",17.36,"Medical Services"
03/26/2023,03/26/2023,"SQ *NICK THE GREEK OYS SOUTH SAN FRACA0002305843017289917533",12.92,"Restaurants"
03/26/2023,03/26/2023,"TARGET 00010546091 SAN BRUNO CA",72.47,"Supermarkets"
03/26/2023,03/26/2023,"UNION 76 MILLBRAE CA",51.44,"Gasoline"
03/27/2023,03/27/2023,"CITY OF SM PW PARKING ME SAN MATEO CA",1.50,"Services"
03/27/2023,03/27/2023,"OTF SAN MATEO 650-4870404 CA",4.39,"Travel/ Entertainment"
03/27/2023,03/27/2023,"SPROUTS FARMERS MARSSS DALY CITY CA",63.73,"Supermarkets"
03/28/2023,03/28/2023,"BART-PARKING MILLBRAE MILLBRAE CA",3.00,"Services"
03/28/2023,03/28/2023,"SQ *THE FILLMORE SAN F LOS ANGELES CA0002305843017301326405",31.86,"Restaurants"
03/28/2023,03/28/2023,"TIXR* MIDWAYSF ELECTRI 8189626635 CA",68.78,"Merchandise"
03/28/2023,03/28/2023,"UNIQLO USA LLC NEW YORK NY",87.68,"Merchandise"
03/28/2023,03/28/2023,"UNKNOWN MORTAL ORCHEST 6502396947 ME",115.50,"Merchandise"
03/29/2023,03/29/2023,"CCBILL.COM 888-5969279 AZ",11.16,"Merchandise"
03/29/2023,03/29/2023,"STORE*BENS FAST FOOD 6506819470 CA",9.81,"Restaurants"
03/29/2023,03/29/2023,"UBER TRIP 866-576-1039 CA",11.97,"Travel/ Entertainment"
03/29/2023,03/29/2023,"UBER TRIP 866-576-1039 CA",13.94,"Travel/ Entertainment"
03/30/2023,03/30/2023,"DISNEYPLUS 888-905-7888 CADISNEYPLUS",109.99,"Services"
03/30/2023,03/30/2023,"MQ HEALTHY FAST FOOD MILLBRAE CA",16.12,"Restaurants"
04/01/2023,04/01/2023,"CA ACAD. OF SCIENCES O SAN FRANCISCOCATXNREF12345",147.75,"Services"
04/01/2023,04/01/2023,"CALIFORNIA ACAD SCIENCES SAN FRANCISCOCA",27.16,"Merchandise"
04/01/2023,04/01/2023,"SPOTIFY P221EA32B1 8777781161 NY",4.99,"Merchandise"
04/01/2023,04/01/2023,"SQ *LUCHO?S SAN FRANCISCOCA0001152921512631103478",30.51,"Restaurants"
04/01/2023,04/03/2023,"NETFLIX.COM NETFLIX.COM CAITEM TRANSFERRED FROM PREV ACCOUNT",10.59,"Merchandise"
04/01/2023,04/03/2023,"PLANNED PARENTHOOD ACTIO NEW YORK NY",5.00,"Services"
04/02/2023,04/02/2023,"ONEPASS 877-515-9364 MN89085",125.10,"Services"
04/02/2023,04/02/2023,"ONEPASS 877-515-9364 MN87520",139.00,"Services"
04/02/2023,04/02/2023,"UBER TRIP 866-576-1039 CA",14.98,"Travel/ Entertainment"
04/02/2023,04/03/2023,"KRYSTAL AND SAAGAR 2025317527 DCITEM TRANSFERRED FROM PREV ACCOUNT",10.00,"Merchandise"
04/03/2023,04/03/2023,"AMAZON.COM*HS1342CV1 AMZN.COM/BILLWA1E81FBKFHJL",30.38,"Merchandise"
04/03/2023,04/03/2023,"AMZN MKTP US*HS5FE4ER0 AMZN.COM/BILLWA4340TRTHK9K",45.00,"Merchandise"
04/03/2023,04/03/2023,"AUTOMATIC STATEMENT CREDIT",-57.91,"Awards and Rebate Credits"
04/03/2023,04/03/2023,"GOOGLE *YT PRIMETIME G.CO/HELPPAY#CAP0QJ0JW7",15.89,"Services"
04/03/2023,04/03/2023,"SPROUTS FARMERS MARSSS DALY CITY CAAPPLE PAY ENDING IN 1455",54.61,"Supermarkets"
04/03/2023,04/03/2023,"UNION STREET PLAZA GARAG SAN FRANCISCOCA",30.00,"Services"
04/05/2023,04/05/2023,"CLAIRE'S #6827 SAN MATEO CA",26.30,"Merchandise"
04/05/2023,04/05/2023,"CLR*RUMBLEBOX 415-651-2297 CACLR*RUMBLEBOX",35.00,"Travel/ Entertainment"
04/05/2023,04/05/2023,"EDDYS MARKET SAN FRANCISCOCA",12.26,"Supermarkets"
04/05/2023,04/05/2023,"INTERNET PAYMENT - THANK YOU",-2889.63,"Payments and Credits"
04/05/2023,04/05/2023,"KJ PRODUCE MARKET SAN FRANCISCOCA",7.17,"Supermarkets"
04/05/2023,04/05/2023,"KJ PRODUCE MARKET SAN FRANCISCOCA",7.98,"Supermarkets"
04/05/2023,04/05/2023,"OBSIDIAN.MD 2262203323 CAN",10.00,"Merchandise"
04/05/2023,04/05/2023,"TARGET 00011221091 SAN MATEO CA",10.66,"Supermarkets"
04/05/2023,04/05/2023,"USPS PO 0510320110 BURLINGAME CA",16.94,"Government Services"
04/06/2023,04/06/2023,"A MEDIUM CORPORATION 415-508-5008 CA",50.00,"Services"
04/06/2023,04/06/2023,"AMZN MKTP US*HS5PF6200 AMZN.COM/BILLWAI0JU9V579DE",15.34,"Merchandise"
04/06/2023,04/06/2023,"SQ *OCEANIC FOOT SPA BURLINGAME CA0001152921512650004010",40.00,"Services"
04/07/2023,04/07/2023,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWD4T3J6FA0",9.99,"Merchandise"
04/07/2023,04/07/2023,"CAFFE CENTRAL BURLINGAME CA",25.88,"Restaurants"
04/07/2023,04/07/2023,"TARGET 00011221091 SAN MATEO CA",31.37,"Supermarkets"
04/08/2023,04/08/2023,"ANDERSEN BAKERY #03 SAN FRANCISCOCA",4.13,"Merchandise"
04/08/2023,04/08/2023,"ANDERSEN BAKERY #03 SAN FRANCISCOCA",6.05,"Merchandise"
04/08/2023,04/08/2023,"IMPARK00270201A SAN FRANCISCOCA00811R",20.00,"Services"
04/08/2023,04/08/2023,"SP YN MOTO 5125372651 TX",127.94,"Merchandise"
04/09/2023,04/09/2023,"CLR*YOGASIX6505342692 650-534-2692 CACLR*YOGASIX6505342692",3.00,"Travel/ Entertainment"
04/09/2023,04/09/2023,"GOOGLE *YOUTUBE TV G.CO/HELPPAY#CAP0QT7VHG",64.99,"Services"
04/09/2023,04/09/2023,"SPEEDWAY 04976 501 SERRA DALY CITY CAAPPLE PAY ENDING IN 1455",48.23,"Gasoline"
04/09/2023,04/09/2023,"TST* RAD RADISH - HAYES SAN FRANCISCOCAAPPLE PAY ENDING IN 1455",6.43,"Restaurants"
04/09/2023,04/09/2023,"TST* RAD RADISH - HAYES SAN FRANCISCOCAAPPLE PAY ENDING IN 1455",7.72,"Restaurants"
04/10/2023,04/10/2023,"AMZN MKTP US*HS98J9992 AMZN.COM/BILLWA10V0LDVGEHP",16.65,"Merchandise"
04/10/2023,04/10/2023,"APPLE.COM/BILL 111-111-1111 CAAPPLE PAY ENDING IN 1455",16.95,"Merchandise"
04/10/2023,04/10/2023,"CARBON HEALTH 4152002133 CA",32.48,"Medical Services"
04/10/2023,04/10/2023,"CARBON HEALTH 4152002133 CA",34.05,"Medical Services"
04/10/2023,04/10/2023,"CLR*RUMBLEBOX 415-651-2297 CACLR*RUMBLEBOX",3.00,"Travel/ Entertainment"
04/10/2023,04/10/2023,"CLR*RUMBLEBOX 415-651-2297 CACLR*RUMBLEBOX",8.72,"Travel/ Entertainment"
04/11/2023,04/11/2023,"TARGET 00011221091 SAN MATEO CA",38.45,"Supermarkets"
04/12/2023,04/12/2023,"AMZN MKTP US*HJ93E3E01 AMZN.COM/BILLWA1URTK5EZBVP",44.46,"Merchandise"
04/12/2023,04/12/2023,"ETSY.COM BROOKLYN NY",34.28,"Merchandise"
04/12/2023,04/12/2023,"ETSY.COM BROOKLYN NY",80.03,"Merchandise"
04/13/2023,04/13/2023,"AMZN MKTP US*HJ60P7VT1 AMZN.COM/BILLWA75F0LN503JI",9.86,"Merchandise"
04/13/2023,04/13/2023,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 1455MMWD54F3Z0A0",13.21,"Merchandise"
04/13/2023,04/13/2023,"LOWE'S OF SAN BRUNO, CA SAN BRUNO CA",23.91,"Home Improvement"
04/13/2023,04/13/2023,"SP HOOOYI 3037328232 COAPPLE PAY ENDING IN 1455",56.76,"Merchandise"
04/14/2023,04/14/2023,"2OAKLAND ARENA OAKLAND CA",32.97,"Restaurants"
04/14/2023,04/14/2023,"CCBILL.COM 888-5969279 AZ",12.76,"Merchandise"
04/14/2023,04/14/2023,"DELTA AIR LINES 18002211212 ESP",21.66,"Travel/ Entertainment"
04/14/2023,04/14/2023,"DELTA AIR LINES 18002211212 ESP",21.66,"Travel/ Entertainment"
04/14/2023,04/14/2023,"SAN FRANCISCO GIFT BASKE SAN FRANCISCOCA",9.22,"Merchandise"
04/14/2023,04/14/2023,"SPROUTS FARMERS MARSSS DALY CITY CA",64.05,"Supermarkets"
04/14/2023,04/14/2023,"STATE FARM INSURANCE 800-956-6310 ILITEM TRANSFERRED FROM PREV ACCOUNT",80.04,"Merchandise"
04/15/2023,04/15/2023,"CYCLE GEAR # 7 REDWOOD CITY CA",126.33,"Merchandise"
04/15/2023,04/15/2023,"FASTRAK CSC 415-486-8655 CA",25.00,"Travel/ Entertainment"
04/16/2023,04/16/2023,"PAYPAL *CRUNCHYROLL 402-935-7733 CA",7.99,"Services"
04/17/2023,04/17/2023,"AMAZON.COM*HJ7H69R52 AMZN.COM/BILLWA57IRUNRC7SV",19.72,"Merchandise"
04/17/2023,04/17/2023,"AMZN MKTP US*HV6D31LD1 AMZN.COM/BILLWA14WFRYTH47Q",87.68,"Merchandise"
04/17/2023,04/17/2023,"APPLE.COM/BILL 111-111-1111 CAAPPLE PAY ENDING IN 1455",7.41,"Merchandise"
04/17/2023,04/17/2023,"CLR*RUMBLEBOX 415-651-2297 CACLR*RUMBLEBOX",3.27,"Travel/ Entertainment"
04/17/2023,04/17/2023,"TMOBILE*AUTO PAY 800-937-8997 WAITEM TRANSFERRED FROM PREV ACCOUNT",111.63,"Merchandise"
04/18/2023,04/18/2023,"AMAZON.COM*HV4IJ05Z0 AMZN.COM/BILLWA29M6LQUY1BI",32.28,"Merchandise"
04/18/2023,04/18/2023,"INTERNET PAYMENT - THANK YOU",-1494.12,"Payments and Credits"
04/18/2023,04/18/2023,"TARGET 00011221091 SAN MATEO CA",50.28,"Supermarkets"
04/19/2023,04/19/2023,"AMZN MKTP US*HV90Z6VC1 AMZN.COM/BILLWA6STDXXU2MRT",54.80,"Merchandise"
04/19/2023,04/19/2023,"AMZN MKTP US*HV9ED2S00 AMZN.COM/BILLWA2XDC3WJ46KV",32.88,"Merchandise"
04/19/2023,04/19/2023,"CLR*CLUBPILATE6507537022 650-753-7022 CACLR*CLUBPILATE6507537022",15.31,"Travel/ Entertainment"
04/19/2023,04/19/2023,"SHELL57444214001 PALO ALTO CA",51.27,"Gasoline"
04/19/2023,04/19/2023,"TACO BELL #28833 PALO ALTO CA",10.36,"Restaurants"
04/20/2023,04/20/2023,"AMZN MKTP US*HV1OO79T0 AMZN.COM/BILLWA10EAGXVLDT8",47.06,"Merchandise"
04/20/2023,04/20/2023,"CHIPOTLE 2028 SAN MATEO CA",10.58,"Restaurants"
04/20/2023,04/20/2023,"WHOLEFDS SMT 10150 SAN MATEO CA",58.65,"Supermarkets"
04/20/2023,04/21/2023,"AMZN MKTP US AMZN.COM/BILLWA5M9FP4POTTV",-44.46,"Payments and Credits"
04/21/2023,04/21/2023,"SAFEWAY #1547 BURLINGAME CA",38.02,"Supermarkets"
04/21/2023,04/21/2023,"SPROUTS FARMERS MARSSS DALY CITY CA",90.75,"Supermarkets"
04/21/2023,04/21/2023,"WHOLEFDS SMT 10150 SAN MATEO CA",10.94,"Supermarkets"
04/22/2023,04/22/2023,"AMZN MKTP US*HV1M40IE2 AMZN.COM/BILLWA1APFOI5XAOD",76.73,"Merchandise"
04/22/2023,04/22/2023,"AMZN MKTP US*HV9NY89Q2 AMZN.COM/BILLWANOP9X4US30V",49.15,"Merchandise"
04/22/2023,04/22/2023,"SP LONELY PLANET 7049712300 SC",12.95,"Merchandise"
04/22/2023,04/22/2023,"SP LONELY PLANET 7049712300 SC",14.95,"Merchandise"
04/23/2023,04/23/2023,"SQ *CURRY UP NOW REDWOOD CITY CA0001152921512707391632",26.23,"Restaurants"
04/23/2023,04/23/2023,"SQ *NEIGHBOR SAN FRANCISCOCA0001152921512705647885",11.36,"Restaurants"
04/23/2023,04/23/2023,"SQ *WOOLY PIG SAN FRANCISCOCA0002305843017457924686",8.52,"Restaurants"
04/25/2023,04/25/2023,"ALASKA AIRLINES 2064333200 WA",63.90,"Travel/ Entertainment"
04/25/2023,04/25/2023,"AMZN MKTP US*HF1PU7QE0 AMZN.COM/BILLWA17OPPZ38VUH",35.93,"Merchandise"
04/25/2023,04/25/2023,"AMZN MKTP US*HF3HV8SM0 AMZN.COM/BILLWA2ZA3WREJCJF",40.31,"Merchandise"
04/25/2023,04/25/2023,"ARCO#04495SINO AMERICAN SAN MATEO CA",48.88,"Gasoline"
04/25/2023,04/25/2023,"DELTA AIR LINES 18002211212 CA",53.90,"Travel/ Entertainment"
04/25/2023,04/25/2023,"SPROUTS FARMERS MARSSS DALY CITY CA",76.40,"Supermarkets"
04/25/2023,04/25/2023,"THE SPORTS PAGE INC MOUNTAIN VIEWCA",49.83,"Restaurants"
04/26/2023,04/26/2023,"AMZN MKTP US*HF1UJ6BP1 AMZN.COM/BILLWA7I8XIMJAU3F",119.49,"Merchandise"
04/26/2023,04/26/2023,"CCBILL.COM 888-5969279 AZ",7.43,"Merchandise"
04/26/2023,04/26/2023,"CCBILL.COM 888-5969279 AZ",13.81,"Merchandise"
04/26/2023,04/26/2023,"OTF SOUTH SAN FRAN 1266 650-8262009 CA",22.00,"Travel/ Entertainment"
04/27/2023,04/27/2023,"AFFIRM.COM PAYMENTS 8554233729 CA",51.52,"Merchandise"
04/28/2023,04/28/2023,"BEST BUY 00001404295 SAN CARLOS CA",157.47,"Merchandise"
04/29/2023,04/29/2023,"MIDWAY CATERING SAN FRANCISCOCA",36.23,"Restaurants"
04/29/2023,04/29/2023,"SQ *MY FAVORITE SAN FRANCISCOCA0001152921512729075030",27.16,"Merchandise"
04/29/2023,04/29/2023,"SQ *ROSE GOLD'S TATTOO SAN FRANCISCOCA0002305843017492799212",255.09,"Merchandise"
04/29/2023,04/29/2023,"SQ *WAKE CUP* GOSQ.COM CAAPPLE PAY ENDING IN 14550001152921512729126492",13.91,"Restaurants"
04/29/2023,04/29/2023,"TCB*MTA METER MTA P 415-701-2311 CA",2.34,"Services"
04/30/2023,04/30/2023,"CLR*YOGASIX6505342692 650-534-2692 CACLR*YOGASIX6505342692",6.00,"Travel/ Entertainment"
04/30/2023,04/30/2023,"UBER TRIP 866-576-1039 CA",12.15,"Travel/ Entertainment"
04/30/2023,04/30/2023,"UBER TRIP 866-576-1039 CA",35.91,"Travel/ Entertainment"
05/01/2023,05/01/2023,"AMAZON.COM*HM0XF3PK1 AMZN.COM/BILLWA1DY6V72UBYO",32.28,"Merchandise"
05/01/2023,05/01/2023,"CHATGPT SUBSCRIPTION 4158799686 CA",20.00,"Merchandise"
05/01/2023,05/01/2023,"FD *CA DMV 593 *SVC 800-777-0133 CA",0.70,"Government Services"
05/01/2023,05/01/2023,"FD *CA DMV 593 *SVC 800-777-0133 CA",0.87,"Government Services"
05/01/2023,05/01/2023,"FD *CA DMV 593 SAN MATEO CA",41.00,"Government Services"
05/01/2023,05/01/2023,"SPOTIFY P22C8F28A6 8777781161 NY",4.99,"Merchandise"
05/01/2023,05/02/2023,"FD *CA DMV 593 *SVC 800-777-0133 CA",-0.70,"Payments and Credits"
05/01/2023,05/03/2023,"NETFLIX.COM NETFLIX.COM CAITEM TRANSFERRED FROM PREV ACCOUNT",10.59,"Merchandise"
05/01/2023,05/03/2023,"PLANNED PARENTHOOD ACTIO NEW YORK NY",5.00,"Services"
05/02/2023,05/02/2023,"ONEPASS 877-515-9364 MN101843",125.10,"Services"
05/02/2023,05/02/2023,"ONEPASS 877-515-9364 MN100417",139.00,"Services"
05/02/2023,05/03/2023,"BROADWAY VALERO BURLINGAME CA",48.84,"Gasoline"
05/02/2023,05/03/2023,"GOLDEN BOY PIZZA SM SAN MATEO CA",32.68,"Restaurants"
05/02/2023,05/03/2023,"KRYSTAL AND SAAGAR 2025317527 DCITEM TRANSFERRED FROM PREV ACCOUNT",10.00,"Merchandise"
05/02/2023,05/03/2023,"TCB*MTA METER MTA P 415-701-2311 CA",6.00,"Services"
05/03/2023,05/03/2023,"AUTOMATIC STATEMENT CREDIT",-46.32,"Awards and Rebate Credits"
05/03/2023,05/03/2023,"GOOGLE *YT PRIMETIME G.CO/HELPPAY#CAP0RU2YP6",15.89,"Services"
05/03/2023,05/03/2023,"INTERNET PAYMENT - THANK YOU",-2069.29,"Payments and Credits"
05/03/2023,05/03/2023,"OTF SAN MATEO 650-4870404 CA",4.39,"Travel/ Entertainment"
05/03/2023,05/03/2023,"STORE*STICK & STEAM 6506819470 CAAPPLE PAY ENDING IN 1455",29.59,"Restaurants"
05/03/2023,05/03/2023,"VENMO *ASACKOFPOTATOE 312-257-2300 NY",45.41,"Restaurants"
05/04/2023,05/04/2023,"AMZN MKTP US*L72039SM3 AMZN.COM/BILLWA7I09WRJXWE2",98.65,"Merchandise"
05/04/2023,05/04/2023,"COURSRA155309EGAS725U 650-963-9884 CA",49.00,"Education"
05/04/2023,05/04/2023,"COURSRA92N5SOTLK7TT8U 650-963-9884 CA",49.00,"Education"
